Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2021/02/21 00:00:00;2021/02/21 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;82.4;82.4;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/22 00:00:00;2021/02/22 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;74.9;74.9;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/23 00:00:00;2021/02/23 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;71.1;71.05;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/24 00:00:00;2021/02/24 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;76.4;76.35;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/25 00:00:00;2021/02/25 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;61.4;61.4;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/26 00:00:00;2021/02/26 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;52.8;52.75;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/27 00:00:00;2021/02/27 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;56.1;56.05;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/02/28 00:00:00;2021/02/28 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;56.8;56.75;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/01 00:00:00;2021/03/01 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;50.5;50.5;µg-m3;96.0;100;96.0;R;1;48.799168;2.130556
2021/03/02 00:00:00;2021/03/02 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;88.7;88.65;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/03 00:00:00;2021/03/03 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;84.8;84.75;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/04 00:00:00;2021/03/04 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;63.2;63.2;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/05 00:00:00;2021/03/05 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;57.9;57.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/06 00:00:00;2021/03/06 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;55.3;55.25;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/07 00:00:00;2021/03/07 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;58.6;58.55;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/08 00:00:00;2021/03/08 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;56.3;56.25;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/09 00:00:00;2021/03/09 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;65.1;65.05;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/10 00:00:00;2021/03/10 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;86.6;86.55;µg-m3;100.0;100;100.0;R;1;48.799168;2.130556
2021/03/11 00:00:00;2021/03/11 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;77.0;77.0;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/12 00:00:00;2021/03/12 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;79.9;79.85;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
2021/03/13 00:00:00;2021/03/13 23:59:59;AIRPARIF;FR11ZAG01;ZAG PARIS;FR04029;VERSAILLES;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;84.6;84.55;µg-m3;100.0;100;100.0;A;1;48.799168;2.130556
